Star,Ra,Dec,Mag
3675.0,0.2051799231,0.2089845859,5.6735
3693.0,0.2065590047,0.4235456253,4.2487
3717.0,0.2082179093,-0.3152312886,5.8552
3721.0,0.2084228222,1.3063368391,5.4062
3741.0,0.2095159408,-0.3791287059,5.5593
3765.0,0.2110781643,0.0922125302,5.8775
3781.0,0.2119933979,-1.3076592082,5.2343
3786.0,0.21241351,0.1323867455,4.5555
3801.0,0.2130751275,0.8895627557,4.8742
3810.0,0.2137090075,0.2956785614,5.1781
3821.0,0.2141737695,1.0090891165,3.5835
3849.0,0.2156611497,-0.2366844002,5.7503
3881.0,0.2173538326,0.7169630129,4.4853
3885.0,0.2176650229,0.483636173,5.6451
3909.0,0.2187278845,-0.1857688369,5.281
3949.0,0.2211570738,-0.8898896994,5.3218
3951.0,0.2213348386,1.1213318216,5.4654
4104.0,0.2298453831,-0.4189824455,5.6191
4147.0,0.231291792,-0.0199704193,4.8864
4151.0,0.2315673258,1.0668073226,4.9069
4200.0,0.2340034755,-1.0973121199,5.6532
4267.0,0.2381807179,0.334901383,5.7989
4283.0,0.239456481,1.4609708113,5.6279
4288.0,0.2398387721,0.4123941779,5.6173
4292.0,0.2399968177,1.029269471,4.9892
4293.0,0.2400045454,-1.2134746977,5.6126
4346.0,0.2430664917,-0.1282300351,5.9961
4371.0,0.2444556266,-0.1966376379,5.4752
4422.0,0.2472557409,1.0329062001,4.7838
4427.0,0.2474368608,1.0597071908,2.1379
4436.0,0.2476256935,0.671938763,3.9034
4440.0,0.247759729,1.0535304413,5.5488
4463.0,0.2496131947,0.4087170143,4.5603
4510.0,0.2523563119,0.5060099684,5.6103
4572.0,0.2553270338,1.1580578174,5.9731
4577.0,0.2557158849,-0.5123844106,4.2628
4587.0,0.2562643417,-0.1986174046,5.7802
4675.0,0.2620573433,0.7803943873,5.6834
4770.0,0.2674881021,-0.6792236559,5.7493
4852.0,0.2724442741,-0.5506870214,5.5405
4889.0,0.2740957131,0.5550903905,5.4945
4890.0,0.2741033575,-0.8097863121,5.5481
4906.0,0.2746461629,0.1377077463,4.4267
4914.0,0.2750787768,-0.0844102372,5.5696
5021.0,0.2806743147,1.074778014,5.9575
5081.0,0.2840051721,0.2608569707,5.735
5131.0,0.2865923267,0.3747783248,5.3425
5132.0,0.2866469009,0.3746431785,5.5192
5164.0,0.2883523913,-0.1717293798,5.5908
5165.0,0.2883508108,-0.8153915713,3.4646
5268.0,0.2936932886,-1.0781817138,5.5032
5296.0,0.2956966118,-0.1707907963,5.8131
5300.0,0.2958206692,-0.7240836493,5.2617
5310.0,0.2964957896,0.3619694333,5.6084
5317.0,0.2967582348,0.7669367868,5.0821
5336.0,0.2976456257,0.9586086146,5.2898
5346.0,0.2983308545,0.098614963,5.5927
5348.0,0.2983829537,-0.9642216752,3.9219
5361.0,0.2991383599,1.016889551,5.7762
5364.0,0.2992704213,-0.1777081665,3.6235
5372.0,0.2999173329,1.5054707132,4.4059
5434.0,0.3032598396,0.8245253821,4.235
5447.0,0.3042543513,0.6217007721,2.1741
5454.0,0.3046475671,0.343103549,5.7069
5493.0,0.3068032273,0.7344620687,5.7972
5494.0,0.3068470165,0.4443266141,5.9332
5518.0,0.3082880844,1.2004145533,5.3204
5542.0,0.3102272388,0.9625481678,4.3873
5544.0,0.31028851,0.5484656247,5.225
5550.0,0.3105441835,0.6584104218,5.7691
5566.0,0.3116515578,1.1205489204,5.5482
5571.0,0.3117735601,0.3671243468,4.8317
5586.0,0.3126747653,0.5251648498,4.6751
5589.0,0.3128043684,1.1347936206,5.5562
5626.0,0.3153598728,1.3905731941,5.6135
5737.0,0.3217079613,0.1322172321,5.2849
5742.0,0.321790363,0.4290676311,4.834
5778.0,0.3234421093,0.2815834316,5.9444
5799.0,0.3246288421,-0.1382911682,5.2444
5833.0,0.3264624149,-0.0170046407,5.7987
5862.0,0.3280177346,-0.7946850105,5.0854
5896.0,0.3305577399,-1.2021171133,4.9639
5926.0,0.3324780873,1.2521663271,5.9673
5951.0,0.3342557638,-0.0436369432,5.5765
6061.0,0.3394653783,0.0630852841,5.1732
6193.0,0.3467371309,0.4758480839,4.7736
6242.0,0.3494234739,1.0163334311,5.1132
6315.0,0.3539639691,0.5015795275,5.3776
6411.0,0.3592755213,0.7946267037,5.0399
6502.0,0.3644078799,-0.5401009688,5.9239
6514.0,0.3651051169,0.6582507581,5.6691
6537.0,0.3666246783,-0.1428159978,3.7757
6592.0,0.3694842577,-0.7241800192,5.5784
6670.0,0.3735884014,-0.2547963315,5.0612
6686.0,0.3744169753,1.0513061203,2.7146
6692.0,0.3749479305,1.1890919,4.8899
6706.0,0.3763568871,0.3346201252,5.4375
6732.0,0.3782744497,0.335811203,5.6657
6748.0,0.3789950792,-0.2278795009,5.5926
6813.0,0.3824514652,0.7925008289,4.9223
6867.0,0.3855680843,-0.7560369968,3.5329
6960.0,0.3909610427,-0.3775033158,5.1255
6999.0,0.3931428348,0.8204335015,5.4338
7007.0,0.3934948878,0.1072318645,4.9799
7078.0,0.3980455062,1.2263519142,5.93
7083.0,0.3981518924,-0.8564867686,4.0987
7097.0,0.3991708965,0.2678352776,3.7914
7118.0,0.4002077481,-0.5285367488,5.9572
7213.0,0.4055019591,-0.6434188032,5.6515
7251.0,0.4076585803,1.0180042158,5.8247
7276.0,0.4088966916,-0.1226118725,5.886
7294.0,0.4098561104,1.0337951096,4.8477
7321.0,0.411359359,0.6499116995,5.8861
7345.0,0.4128955503,-0.2736039727,5.6475
7359.0,0.4137192024,0.3221995139,5.9918
7450.0,0.4188031885,-0.2687844708,5.5783
7463.0,0.4194919951,-0.5219831959,5.7687
7513.0,0.422368004,0.7226777448,4.2118
7535.0,0.4236758649,0.2119093387,5.6279
7568.0,0.4252625646,-1.4795094978,5.8263
7588.0,0.4263513349,-0.9989681672,0.4233
7607.0,0.4275694742,0.848727197,3.7515
7617.0,0.4281557086,1.0119007945,5.7152
7650.0,0.4298557559,1.2747897398,5.4463
7679.0,0.4313659674,-0.3713270817,5.6627
7719.0,0.4334975376,0.7746840776,5.1627
7751.0,0.4354046475,-0.9808129451,5.9046
7818.0,0.4388633437,0.7082041032,4.9376
7825.0,0.4392092334,0.755688531,5.6994
7884.0,0.4425796899,0.0957767696,4.5914
7916.0,0.4439534529,-0.19763529,5.8455
7918.0,0.4440783613,0.7437512372,5.0839
7921.0,0.4441828112,-1.0609724034,5.8647
7941.0,0.4452782343,-0.642844281,5.7106
7943.0,0.4453102087,0.6151546804,5.6163
7955.0,0.4456876625,-0.5642100969,5.4202
7965.0,0.4465457099,1.1875751936,5.5571
7978.0,0.4471788831,-0.9379499709,5.6378
7981.0,0.4472369671,0.3537808657,5.3905
7999.0,0.4482236009,-0.0644046879,5.1677
8016.0,0.4491116874,1.2325961795,5.1822
8046.0,0.4508576337,1.0568207884,5.7809
8068.0,0.4523031868,0.8846858499,3.9801
8102.0,0.4541584879,-0.2781977287,3.6295
8198.0,0.459864349,0.1598309944,4.4267
8209.0,0.4609599638,-0.4372474571,5.3833
8230.0,0.4624588563,-0.1000636903,5.4934
8240.0,0.4629432053,-0.8869102328,5.5513
8241.0,0.4629586851,-0.9341382719,5.0555
8362.0,0.4700800101,1.1144468558,5.7673
8387.0,0.4720317621,0.2959315839,5.853
8433.0,0.4742698661,0.5705391804,5.9059
8497.0,0.4781613889,-0.1865090345,4.7411
8544.0,0.480589518,0.3887783069,5.9716
8593.0,0.4839273484,-0.8762622245,5.9906
8645.0,0.4863367693,-0.1803788229,3.9067
8704.0,0.4886418172,0.9625037867,5.469
8714.0,0.4893724382,0.8865027052,5.6854
8778.0,0.4924801126,-0.2954689492,5.8565
8796.0,0.49341184,0.5162578708,3.521
8814.0,0.494317375,0.7108691109,5.5725
8832.0,0.4953655907,0.3367454416,3.8584
8833.0,0.4954798082,0.0556319937,4.7687
8837.0,0.4958785616,-0.8081301415,4.4099
8882.0,0.4990231074,-0.7417104964,5.106
8886.0,0.4991411472,1.1112536973,3.3107
8903.0,0.5002076818,0.3631733438,2.7044
8928.0,0.5014923468,-1.1806712765,4.8442
8993.0,0.5054933093,0.4115022626,5.9283
9007.0,0.5059151382,-0.9007572172,3.8511
9009.0,0.506145762,1.1987840251,4.9527
9021.0,0.5068166981,0.6501666319,5.8529
9061.0,0.5090659014,-0.3931652872,5.0531
9095.0,0.511235495,-0.827029486,4.9864
9110.0,0.5120384029,0.310975596,5.2589
9132.0,0.5136893319,0.4852804893,5.9114
9153.0,0.5145649062,0.4118295652,4.8582
9222.0,0.5173082961,0.8587762051,5.8612
9236.0,0.5182080074,-1.0745979068,2.9305
9312.0,0.5219981263,1.1278603663,5.2961
9313.0,0.5220610176,-0.7335669349,5.7343
9326.0,0.5225943613,-0.3634574097,5.5194
9347.0,0.5236151246,-0.3678765214,4.1012
9372.0,0.5255456833,-0.1487688292,5.3545
9440.0,0.5290381224,-0.523626099,5.5008
9459.0,0.5310456845,-0.7803958856,5.2658
9480.0,0.5321472281,1.2375614198,4.5498
9487.0,0.5325290992,0.0482367341,3.8281
9505.0,0.5336398166,0.9509871361,4.9807
9570.0,0.5365408962,0.580918028,5.5314
9573.0,0.5367024631,1.1238179044,5.6907
9589.0,0.5375327387,0.0022419461,5.4819
9598.0,0.5385933599,1.2639890797,3.9602
